English,Bangla
a,একটি
ability,ক্ষমতা
able,সক্ষম
aboard,বিদেশে
about,সম্পর্কিত
above,উপরে
absence,অনুপস্থিতি
accept,গ্রহণ করা
accident,দুর্ঘটনা
accommodate,মিটমাট করা
according,অনুযায়ী
account,হিসাব
achieve,অর্জন করা
acquire,অর্জন
across,দিয়ে
act,আইন
action,কর্ম
activities,ক্রিয়াকলাপ
actually,প্রকৃতপক্ষে
add,যোগ
addition,যোগ
address,ঠিকানা
adopt,অবলম্বন করা
advertise,বিজ্ঞাপিত করা
advice,পরামর্শ
affair,ব্যাপার
affect,প্রভাবিত
afraid,ভীত
after,পরে
afternoon,বিকেল
again,আবার
against,বিরুদ্ধে
age,বয়স
ago,পূর্বে
at,এ
ate,খেয়েছি
athlete,ক্রীড়াবিদ
athletic,ক্রীড়াবিষয়ক
attached,সংযুক্ত
attempt,প্রচেষ্টা
attend,স্বাগতম
attention,মনোযোগ
audience,শ্রোতা
August,অগাস্ট
aunt,মাসি
author,লেখক
auto,স্বয়ংক্রিয়
automobile,মোটরগাড়ি
available,সহজলভ্য
avenue,প্রশস্ত রাজপথ
average,গড়
avoid,এড়াতে
await,অপেক্ষায় রয়েছেন
away,দূরে
awful,"ভয়াবহ, আতঙ্কজনক"
agree,একমত
agreement,চুক্তি
ahead,এগিয়ে
air,বায়ু
alike,একইভাবে
alive,জীবিত
all,সব
all right,ঠিক আছে
allege,সপক্ষে যুক্তি দেখান
allow,অনুমতি
allowed,অনুমতি
almost,প্রায়
alone,একা
along,বরাবর
already,ইতিমধ্যে
also,এছাড়াও
although,যদিও
altogether,পুরাপুরি
always,সর্বদা
am,টা
American,মার্কিন
among,মধ্যে
amount,পরিমাণ
an,একটি
ancient,প্রাচীন
and,এবং
anger,রাগ
angle,কোণ
angry,ক্রুদ্ধ
animal,পশু
animals,পশুদের
annual,বার্ষিক
another,অন্য
answer,উত্তর
any,কোন
anyone,যে কেউ
anything,কিছু
anyway,যাহাই হউক না কেন
apart,পৃথক্
apartment,কামরা
apparent,আপাত
appear,প্রদর্শিত
apple,আপেল
application,আবেদন
apply,প্রয়োগ করা
appoint,নিয়োগ
appreciate,তারিফ করা
April,এপ্রিল
are,হয়
area,এলাকায়
argument,যুক্তি
arm,হাত
army,সেনা
around,কাছাকাছি
arrange,ব্যবস্থা করা
arrangement,ব্যবস্থা
arrest,গ্রেফতার
arrive,পৌঁছা
arrived,আগত
art,শিল্প
article,প্রবন্ধ
as,যেমন
ask,জিজ্ঞাসা করা
asked,জিজ্ঞাসা
assist,সাহায্য
associate,সহযোগী
association,সংঘ
assure,নিশ্চিত করা
babies,শিশুদের
baby,বাচ্চা
back,পেছনে
bad,খারাপ
bag,থলে
balance,ভারসাম্য
ball,বল
band,দল
bank,ব্যাংক
barbecue,কাবাব
base,ভিত্তি
baseball,বেসবল
basic,মৌলিক
build,বিল্ড
built,নির্মিত
burn,পোড়া
bus,বাস
business,ব্যবসায়
busy,ব্যস্ত
but,কিন্তু
buy,কেনা
by,দ্বারা
basically,মূলত
bat,বাদুড়
be,থাকা
bear,ভালুক
beat,বীট
beautiful,সুন্দর
beauty,সৌন্দর্য
became,হয়ে ওঠে
because,কারণ
become,পরিণত
bed,বিছানা
been,হয়েছে
before,আগে
beg,প্রার্থনা করা
began,শুরু হয়
begin,শুরু করা
beginning,শুরুতে
begun,শুরু
behind,পিছনে
being,হচ্ছে
believe,বিশ্বাস করা
bell,ঘণ্টা
belong,অন্তর্গত
below,নিচে
beneath,তলদেশে
benefit,সুবিধা
beside,পাশে
best,সেরা
better,উত্তম
between,মধ্যে
beyond,তার পরেও
bicycle,সাইকেল
big,বৃহৎ
bill,বিল
bird,পাখি
bit,বিট
black,কালো
block,বাধা
blood,রক্ত
blow,ঘা
blue,নীল
board,তক্তা
boat,নৌকা
body,শরীর
bone,হাড়
book,বই
born,জন্ম
both,উভয়
bottle,বোতল
bottom,পাদ
bought,কিনলেন
box,বক্স
boy,ছেলে
branch,শাখা
bread,রুটি
break,বিরতি
breakfast,ব্রেকফাস্ট
breath,শ্বাস
breathe,শ্বাস ফেলা
bridge,সেতু
bright,উজ্জ্বল
brilliant,উজ্জ্বল
bring,আনা
broke,ভেঙে
broken,ভাঙ্গা
brother,ভাই
brought,আনীত
brown,বাদামী
cabin,কেবিন
calendar,পাঁজি
call,কল
called,নামক
came,এল
camp,শিবির
can,করতে পারা
can’t,নারা
cancel,বাতিল
cannot,না পারেন
capital,রাজধানী
captain,অধিনায়ক
capture,গ্রেপ্তার
car,গাড়ী
card,কার্ড
care,যত্ন
career,পেশা
careful,সাবধান
carefully,সাবধানে
carried,বাহিত
carry,বহন
case,কেস
cast,ঢালাই
cat,বিড়াল
catch,ধরা
community,সম্প্রদায়
company,প্রতিষ্ঠান
compare,তুলনা করা
competition,প্রতিযোগিতা
complaint,অভিযোগ
complete,সম্পূর্ণ
concern,উদ্বেগ
condition,শর্ত
conference,সম্মেলন
connect,কানেক্ট
connection,সংযোগ
consider,বিবেচনা
consideration,বিবেচনা
consonant,ব্যঞ্জনবর্ণ
construction,নির্মাণ
contain,ধারণ করা
continent,মহাদেশ
continue,অবিরত
contract,চুক্তি
control,নিয়ন্ত্রণ
convenience,সুবিধা
convenient,সুবিধাজনক
convention,সম্মেলন
conversation,কথোপকথন
convict,আসামি
convince,সন্তুষ্ট
cook,রাঁধুনি
cool,শীতল
copy,কপি
corn,ভূট্টা
corner,কোণ
correct,ঠিক
cost,মূল্য
cotton,কার্পাস
category,বিভাগ
cattle,গবাদি পশু
caught,ধরা
cause,কারণ
ceiling,ছাদ
celebration,অনুষ্ঠান
cell,কোষ
cemetery,কবরস্থান
cent,শতাংশ
center,কেন্দ্র
century,শতাব্দী
certain,নির্দিষ্ট
chain,শৃঙ্খল
chair,চেয়ার
chance,সুযোগ
change,পরিবর্তন
chapter,অধ্যায়
character,চরিত্র
charge,চার্জ
chart,তালিকা
check,চেক
chick,কুক্কুট
chief,নেতা
child,শিশু
children,শিশু
choose,পছন্দ করা
Christmas,বড়দিনের পর্ব
church,গির্জা
circle,বৃত্ত
circular,বিজ্ঞপ্তি
circumstance,পরিস্থিতিতে
cities,শহর
citizen,নাগরিক
city,শহর
could,পারা
couldn’t,না পারা
council,পরিষদ
count,গণনা
country,দেশ
couple,দম্পতি
courage,সাহস
course,পথ
court,আদালত
cover,আবরণ
cow,গাভী
crease,ভাঁজ করা
create,সৃষ্টি
criticize,সমালোচনা করা
crop,ফসল
cross,ক্রস
crowd,ভিড়
current,বর্তমান
cut,কাটা
claim,দাবি
class,শ্রেণী
clean,পরিষ্কার
clear,পরিষ্কার
clerk,করণিক
climate,জলবায়ু
climb,আরোহণ
climbed,আরোহন
clock,ঘড়ি
close,ঘনিষ্ঠ
clothe,গরমের সময় কাপড়ের
clothes,বস্ত্র
clothing,বস্ত্র
cloud,মেঘ
club,ক্লাব
coast,উপকূল
coat,কোট
coffee,কফি
cold,ঠান্ডা
collect,সংগ্রহ
college,কলেজ
colonies,উপনিবেশ
colony,উপনিবেশ
color,রঙ
column,স্তম্ভ
combination,সমাহার
combine,মেশা
come,আসা
comfort,সান্ত্বনা
coming,আসছে
coming,আসছে
command,হুকুম
committee,কমিটি
common,সাধারণ
dinner,ডিনার
direct,সরাসরি
direction,অভিমুখ
director,পরিচালক
disappear,অদৃশ্য
disappoint,নিরাশ
discipline,শৃঙ্খলা
discover,আবিষ্কার করুন
discuss,আলোচনা করা
discussion,আলোচনা
disease,রোগ
distance,দূরত্ব
distinguish,প্রভেদ করা
distribute,বিতরণ করা
district,জেলা
divide,বিভক্ত করা
division,বিভাগ
do,করা
doctor,ডাক্তার
does,করে
doesn’t,করে না
dog,কুকুর
dollar,ডলার
dollars,ডলার
don’t,না
done,সম্পন্ন
door,দরজা
double,ডবল
doubt,সন্দেহ
down,নিচে
dozen,ডজন
draw,আঁকা
dream,স্বপ্ন
dress,পোশাক
dad,বাবা
daily,দৈনন্দিন
dance,নাচতে
danger,ঝুঁকি
dangerous,বিপজ্জনক
dark,অন্ধকার
dash,হানাহানি
date,তারিখ
daughter,কন্যা
day,দিন
dead,মৃত
deal,লেনদেন
dear,প্রিয়
death,মরণ
debate,বিতর্ক
drill,কসরত
drink,পান করা
drive,ড্রাইভ
driven,চালিত
drop,ঝরা
dropped,বাদ
drove,ঘটেছে
drown,মজান
dry,শুষ্ক
duck,হাঁস
due,বাকি
during,সময়
dust,ধূলিকণা
duty,দায়িত্ব
December,ডিসেম্বর
decide,সিদ্ধান্ত নেন
decimal,দশমিক
decision,রায়
declare,ঘোষণা
deep,গভীর
definite,নির্দিষ্ট
degree,ডিগ্রী
delay,বিলম্ব
department,বিভাগ
depend,নির্ভর
deposit,আমানত
describe,বর্ণনা করা
desert,মরুভূমি
design,নকশা
desire,ইচ্ছা
desperate,মরিয়া
destroy,ধ্বংস
detailed,বিশদ
determine,নির্ধারণ
determined,নির্ধারিত
develop,বিকাশ
diamond,হীরা
dictionary,অভিধান
did,করেছিল
didn’t,না
die,মরা
died,মারা যান
differ,ভিন্ন
difference,পার্থক্য
different,বিভিন্ন
difficult,কঠিন
difficulty,অসুবিধা
dilemma,উভয়সঙ্কট
event,ঘটনা
ever,চিরকাল
every,প্রতি
everybody,সবাই
everyone,সবাই
everything,সব
evidence,প্রমান
exact,সঠিক
exactly,ঠিক
exaggerate,অতিরঞ্জিত করা
examination,পরীক্ষা
example,উদাহরণ
excellent,চমত্কার
except,ছাড়া
excite,এক্সাইট
excited,উত্তেজিত
exercise,ব্যায়াম
exist,থাকবেই
existence,অস্তিত্ব
expect,আশা করা
expense,ব্যয়
experience,অভিজ্ঞতা
experiment,পরীক্ষা
explain,ব্যাখ্যা করা
explanation,ব্যাখ্যা
express,প্রকাশ করা
extra,অতিরিক্ত
extreme,চরম
eye,চোখ
each,প্রতি
earliest,নিকটতম
early,গোড়ার দিকে
earth,পৃথিবী
easily,সহজে
east,পূর্ব
easy,সহজ
eat,খাওয়া
edge,প্রান্ত
education,শিক্ষা
effect,প্রভাব
effort,প্রচেষ্টা
egg,ডিম
eight,আট
either,হয়
elaborate,সম্প্রসারিত
elect,নির্বাচিত
election,নির্বাচন
electric,বৈদ্যুতিক
electricity,বিদ্যুৎ
else,আর
embarrass,বিব্রত করা
emergency,জরুরি অবস্থা
empire,সাম্রাজ্য
employ,চাকরী
employee,কর্মচারী
empty,খালি
enclose,ঘিরা
end,শেষ
enemy,শত্রু
energy,শক্তি
engage,চুক্তিবদ্ধ করান
engine,ইঞ্জিন
English,ইংরেজি
enjoy,উপভোগ
enough,যথেষ্ট
enter,প্রবেশ করান
entered,প্রবিষ্ট
entertain,পোষণ করা
entire,সমগ্র
entitle,আখ্যাত করা
entrance,প্রবেশদ্বার
environment,পরিবেশ
environment,পরিবেশ
equal,সমান
equate,সমীকরণ করা
equipment,উপকরণ
equipped,সজ্জিত
escape,অব্যাহতি
especially,বিশেষত
estate,স্টেট
estimate,হিসাব
even,এমন কি
evening,সন্ধ্যা
face,মুখ
fact,সত্য
factory,কারখানা
fail,ব্যর্থ
fair,ন্যায্য
free,বিনামূল্যে
frequently,ঘনঘন
fresh,তাজা
Friday,শুক্রবার
friend,বন্ধু
friends,বন্ধুদের
frightened,ভীত
from,থেকে
front,সদর
frozen,হিমায়িত
fruit,ফল
full,সম্পূর্ণ
fun,মজা
function,ক্রিয়া
fundamental,মৌলিক
funny,হাস্যকর
furniture,আসবাবপত্র
further,অধিকতর
future,ভবিষ্যৎ
fall,পড়া
familiar,পরিচিত
family,পরিবার
famous,বিখ্যাত
far,এ পর্যন্ত
farm,খামার
farmer,কৃষক
farther,অধিকতর
fascinating,চটুল
fast,দ্রুত
fat,চর্বি
father,পিতা
favor,আনুকূল্য
favorite,প্রিয়
fear,ভয়
feather,পালক
feature,বৈশিষ্ট্য
February,ফেব্রুয়ারি
feed,ভোজন
feel,অনুভব করা
feet,পা দুটো
fell,খোলস
felt,অনুভূত
few,কয়েক
field,ক্ষেত্র
fifth,পঞ্চম
fifty,পঞ্চাশ
fight,যুদ্ধ
figure,ব্যক্তিত্ব
file,ফাইল
fill,ভরাট
final,চূড়ান্ত
finally,পরিশেষে
find,অনুসন্ধান
fine,জরিমানা
finger,আঙ্গুল
finish,শেষ
fire,আগুন
firm,দৃঢ়
first,প্রথম
fish,মাছ
fit,হইয়া
five,পাঁচ
fix,ফিক্স
flat,সমান
flew,আসেন
flight,ফ্লাইট
floor,মেঝে
flow,প্রবাহ
flower,ফুল
fly,মাছি
follow,অনুসরণ করা
food,খাদ্য
foot,পা
for,জন্য
force,বল
foreign,বিদেশী
forest,বন। জংগল
forget,ভুলবেন
form,ফর্ম
forth,বের
fortune,ভাগ্য
forty,চল্লিশ
forward,অগ্রবর্তী
found,পাওয়া
four,চার
fourth,চতুর্থ
fraction,ভগ্নাংশ
game,খেলা
garage,গ্যারেজ
garden,বাগান
gas,গ্যাস
gather,সংগ্রহ করা
gave,দিলেন
general,সাধারণ
generally,সাধারণত
gentle,মৃদু
get,পাওয়া
getting,পেয়ে
girl,মেয়ে
give,দিতে
glad,আনন্দিত
glass,কাচ
go,যাওয়া
goes,যায়
going,চালু
gold,স্বর্ণ
gone,সর্বস্বান্ত
good,ভাল
got,পেয়েছেন
govern,শাসন ​​করা
government,সরকার
grammar,ব্যাকরণ
grand,মহান
grant,প্রদান
grass,ঘাস
gray,ধূসর
great,মহান
green,সবুজ
grew,বড় হয়েছি
groceries,মুদীখানার পণ্যদ্রব্য
ground,স্থল
group,গ্রুপ
grow,হত্তয়া
grown,উত্থিত
guarantee,জামিন
guess,অনুমান
guest,অতিথি
guidance,পথপ্রদর্শন
guide,নির্দেশিকা
gun,বন্দুক
home,বাড়ি
honor,সম্মান
hope,আশা
horse,ঘোড়া
hospital,হাসপাতাল
hot,গরম
hour,ঘন্টা
house,গৃহ
how,কিভাবে
however,যাহোক
huge,বিপুল
human,মানবীয়
humor,মেজাজ
humorous,রসাত্মক
hundred,শত
hungry,ক্ষুধার্ত
hunt,খোজা
hurry,ত্বরা
hurt,আহত
husband,স্বামী
had,ছিল
hair,চুল
half,অর্ধেক
hand,হাত
happen,ঘটা
happened,ঘটেছিলো
happening,ঘটনা
happiness,সুখ
happy,সুখী
hard,কঠিন
has,হয়েছে
hat,টুপি
have,আছে
he,তিনি
he’s,সে
head,মাথা
healthy,সুস্থ
hear,শোনা
heard,শুনেছি
heart,হৃদয়
heat,তাপ
heavy,ভারী
height,উচ্চতা
held,অনুষ্ঠিত
help,সাহায্যের
her,তার
here,এখানে
hero,বীর
heros,নায়ক
hers,তার
herself,নিজেকে
high,উচ্চ
hill,পাহাড়
him,তার
himself,নিজে
his,তার
history,ইতিহাস
hit,হিট
hold,রাখা
hole,গর্ত
I,আমি
I’d,আমি চাই
I’ll,আমি করব
I’m,আমি
I’ve,আমার আছে
ice,বরফ
idea,ধারণা
identify,সনাক্ত করা
identity,পরিচয়
if,যদি
illustrate,চিত্রিত করা
imaginary,কল্পিত
imagine,কল্পনা করা
imitate,নকল
imitation,অনুকরণ
immediate,আশু
immediately,অবিলম্বে
importance,গুরুত্ব
important,গুরুত্বপূর্ণ
impossible,অসম্ভব
imprison,কয়েদ করা
improve,উন্নত করা
improvement,উন্নতি
in,ভিতরে
inch,ইঞ্চি
incidentally,প্রসঙ্গক্রমে
include,অন্তর্ভুক্ত করা
income,আয়
increase,বৃদ্ধি
indeed,প্রকৃতপক্ষে
independent,স্বাধীন
indicate,ইঙ্গিত
individual,স্বতন্ত্র
industry,শিল্প
influence,প্রভাব
inform,জানান
information,তথ্য
injure,ক্ষত
insect,পোকা
insects,পোকামাকড়
inside,ভিতরে
inspect,পরিদর্শন করা
instance,দৃষ্টান্ত
instead,পরিবর্তে
instrument,যন্ত্র
intelligent,বুদ্ধিমান
intend,মনস্থ করা
interest,স্বার্থ
interesting,মজাদার
interfere,হস্তক্ষেপ করা
interference,হস্তক্ষেপ
interrupt,বিঘ্ন
interruption,বাধা
into,মধ্যে
invent,উদ্ভাবন করা
investigate,তদন্ত করা
invitation,আমন্ত্রণ
invite,আমন্ত্রণ করা
iron,লোহা
irrelevant,অপ্রাসঙ্গিক
irritable,খিট্খিটে
is,হয়
island,দ্বীপ
isn’t,নয়
issue,সমস্যা
it,এটা
it’s,এটা
its,এর
itself,নিজেই
jail,জেল
January,জানুয়ারী
jealous,ঈর্ষান্বিত
job,কাজ
join,যোগদানের
joy,আনন্দ
judge,বিচারক
judgement,রায়
July,জুলাই
jump,লাফ
June,জুন
just,মাত্র
justice,বিচার
keep,রাখা
kept,রাখা
key,চাবি
kind,সদয়
king,রাজা
kitchen,রান্নাঘর
knew,জানতাম
knife,ছুরি
know,জানা
knowledge,জ্ঞান
known,পরিচিত
labor,শ্রম
laboratory,পরীক্ষাগার
lady,ভদ্রমহিলা
laid,পাড়া
lake,হ্রদ
land,জমি
language,ভাষা
large,বড়
last,গত
late,বিলম্বে
later,পরে
laugh,হাসি
law,আইন
lay,লে
lead,নেতৃত্ব
leader,নেতা
learn,শেখা
learned,জ্ঞানী
least,অন্তত
leather,চামড়া
leave,ছুটি
leaves,পাতার
led,এলইডি
ledge,স্তর
left,বাম
leg,পা
length,লম্বা
less,কম
lesson,পাঠ
let,দিন
letter,চিঠি
level,উচ্চতা
liberty,স্বাধীনতা
library,গ্রন্থাগার
license,লাইসেন্স
lie,মিথ্যা
life,জীবন
light,আলো
like,মত
line,লাইন
liquid,তরল
list,তালিকা
listen,শোনা
little,সামান্য
live,লাইভ দেখান
lived,বাস করতেন
living,জীবিত
local,স্থানীয়
locate,সনাক্ত
located,অবস্থিত
log,লগ
lone,নির্জন
loneliness,নিঃসঙ্গতা
lonely,একাকী
long,দীর্ঘ
longer,আর
look,বর্ণন
looked,তাকিয়ে
loose,আলগা
lose,হারান
losing,হারানো
loss,ক্ষতি
lost,নিখোঁজ
lot,অনেক
loud,অট্ট
love,ভালবাসা
low,কম
lying,মিথ্যা
material,উপাদান
mathematics,অংক
matter,ব্যাপার
matter,ব্যাপার
may,পারে
May,মে
maybe,হতে পারে
mayor,মেয়র
me,আমাকে
mean,গড়
meant,অভিপ্রেত
measure,পরিমাপ করা
meat,মাংস
medicine,ওষুধ
meet,সম্মেলন
member,সদস্য
men,পুরুষদের
mental,মানসিক
mention,উল্লেখ
mere,নিছক
message,বার্তা
met,মিলিত
metal,ধাতু
method,পদ্ধতি
middle,মধ্যম
might,হতে পারে
mile,মাইল
milk,দুধ
million,মিলিয়ন
mind,মন
mine,খনি
miniature,ক্ষুদ্র
minute,মিনিট
miss,হারানো
Miss,হারানো
mistake,ভুল
mix,মিশ্রণ
model,মডেল
modern,আধুনিক
molecule,অণু
moment,মুহূর্ত
Monday,সোমবার
money,টাকা
month,মাস
moon,চাঁদ
more,অধিক
morning,সকাল
most,সবচেয়ে
mother,মা
motion,গতি
motor,মোটর
mount,পর্বত
mountain,পর্বত
mouth,মুখ
move,পদক্ষেপ
movement,আন্দোলন
Mr.,জনাব.
Mrs.,জনাবা.
much,অনেক
multiply,সংখ্যাবৃদ্ধি
muscles,পেশী
music,সঙ্গীত
must,অবশ্যই
my,আমার
myself,নিজেকে
mysterious,রহস্যময়
machine,মেশিন
made,প্রণীত
magazine,পত্রিকা
magnet,চুম্বক
mail,মেইল
main,প্রধান
major,মুখ্য
majority,সংখ্যাগুরু
make,করতে
man,মানুষ
mane,কেশর
manner,পদ্ধতি
many,অনেক
map,মানচিত্র
March,মার্চ
mark,ছাপ
market,বাজার
marriage,বিবাহ
married,বিবাহিত
mass,ভর
master,মনিব
match,ম্যাচ
match,ম্যাচ
name,নাম
named,নামে
narrow,সংকীর্ণ
nation,জাতি
national,জাতীয়
natural,প্রাকৃতিক
naturally,স্বাভাবিকভাবে
nature,প্রকৃতি
navy,নৌবাহিনী
near,কাছাকাছি
nearly,প্রায়
necessary,প্রয়োজনীয়
neck,ঘাড়
need,প্রয়োজন
neighbor,প্রতিবেশী
neither,তন্ন তন্ন
never,না
new,নতুন
news,খবর
newspaper,সংবাদপত্র
next,পরবর্তী
nice,চমৎকার
night,রাত
nine,নয়
no,না
nobody,কেউ নয়
noise,গোলমাল
none,না
noon,দুপুর
nor,না
north,উত্তর
northern,উত্তর
nose,নাক
not,না
note,বিঃদ্রঃ
nothing,কিছু না